
[Timestamp: 2024-07-24_23:14:25, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=95, Proxy Used: http://84.33.46.151:5236, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:25, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=6, Proxy Used: http://84.33.46.151:5236, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:26, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=16, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:29, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=14, Proxy Used: http://154.12.101.90:5955, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:29, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=12, Proxy Used: http://104.143.225.168:5175, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:30, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=98, Proxy Used: http://154.22.135.55:5920, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:31, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=100, Proxy Used: http://84.33.46.151:5236, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:31, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=94, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:32, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=96, Proxy Used: http://45.56.172.45:5112, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:32, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=97, Proxy Used: http://104.143.225.168:5175, Status Code: 200, Comment: Success]
